URL ,Apartment Name,Address,City,Units
https://www.equityapartments.com/washington-dc/northwest-dc/1210-mass-apartments,1210 Mass Apartments,"1210 Massachusetts Ave, NW

Washington DC 20005",Washington DC,144
https://www.equityapartments.com/washington-dc/dupont-circle/1500-mass-apartments,1500 Mass Apartments,"1500 Massachusetts Avenue NW

Washington DC 20005",Washington DC,556
https://www.equityapartments.com/washington-dc/mt-vernon-triangle/455-eye-street-apartments,455 Eye Street Apartments,"455 I St NW

Washington DC 20001",Washington DC,174
https://www.equityapartments.com/washington-dc/gallery-place-mt-vernon-triangle/425-mass-apartments,"
425 Mass Apartments","425 Massachusetts Avenue NW

Washington DC 20001",Washington DC,559
https://www.equityapartments.com/washington-dc/dupont-circle/corcoran-house-at-dupont-circle-apartments,Corcoran House at Dupont Circle Apartments,"1616 18th St. NW

Washington DC 20009",Washington DC,138
https://www.equityapartments.com/washington-dc/dupont-circle/the-flats-at-dupont-circle-apartments,The Flats at Dupont Circle Apartments,"2000 N St. NW

Washington DC 20036",Washington DC,306
https://www.equityapartments.com/washington-dc/georgetown/2400-m-apartments,"
2400 M Apartments","2400 M Street NW

Washington DC 20037",Washington DC,359
https://www.equityapartments.com/washington-dc/noma/100k-apartments,"
100K Apartments","100 K St NE

Washington DC 20002",Washington DC,222
https://www.equityapartments.com/washington-dc/woodley-park/calvert-woodley-apartments,"
Calvert Woodley Apartments","2601 Woodley Place NW

Washington DC 20008",Washington DC,136
https://www.equityapartments.com/washington-dc/woodley-park/cleveland-house-apartments,"
Cleveland House Apartments","2727 29th St. NW

Washington DC 20008",Washington DC,214
https://www.equityapartments.com/washington-dc/cleveland-park/2501-porter-apartments,"
2501 Porter Apartments","2501 Porter St. NW

Washington DC 20008",Washington DC,202
https://www.equityapartments.com/arlington/rosslyn/1800-oak-apartments,"
1800 Oak Apartments","1800 N. Oak St.

Arlington VA 22209",Washington DC,314
https://www.equityapartments.com/arlington/crystal-city/water-park-towers-apartments,Water Park Towers Apartments,"1501 Crystal Dr.

Arlington VA 22202",Washington DC,362
https://www.equityapartments.com/arlington/crystal-city/crystal-place-apartments,"
Crystal Place Apartments","1801 Crystal Dr.

Arlington VA 22202",Washington DC,181
https://www.equityapartments.com/arlington/pentagon-city/lofts-590-apartments,"
Lofts 590 Apartments","590 S. 15th St.

Arlington VA 22202",Washington DC,212
https://www.equityapartments.com/washington-dc/cathedral-heights/alban-towers-apartments,"
Alban Towers Apartments","3700 Massachusetts Ave. NW

Washington DC 20016",Washington DC,229
https://www.equityapartments.com/arlington/pentagon-city/1401-joyce-on-pentagon-row-apartments,"
1401 Joyce on Pentagon Row Apartments","1401 S. Joyce Street

Arlington VA 22202",Washington DC,326
https://www.equityapartments.com/arlington/courthouse/the-prime-at-arlington-courthouse-apartments,The Prime at Arlington Courthouse Apartments,"1415 North Taft Street

Arlington VA 22201",Washington DC,273
https://www.equityapartments.com/washington-dc/van-ness/3003-van-ness-apartments,3003 Van Ness Apartments,"3003 Van Ness St. NW

Washington DC 20008",Washington DC,625
https://www.equityapartments.com/arlington/courthouse/courthouse-plaza-apartments,Courthouse Plaza Apartments,"2250 Clarendon Blvd.

Arlington VA 22201",Washington DC,396
https://www.equityapartments.com/arlington/courthouse/2201-wilson-apartments,2201 Wilson Apartments,"2201 Wilson Blvd.

Arlington VA 22201",Washington DC,219
https://www.equityapartments.com/washington-dc/van-ness/park-connecticut-apartments,"
Park Connecticut Apartments","4411 Connecticut Ave. NW

Washington DC 20008",Washington DC,142
https://www.equityapartments.com/arlington/courthouse/2201-pershing-apartments,2201 Pershing Apartments,"2209 Pershing Drive

Arlington VA 22201",Washington DC,188
https://www.equityapartments.com/arlington/courthouse/sheffield-court-apartments,"
Sheffield Court Apartments","701 North Wayne Street

Arlington VA 22201",Washington DC,597
https://www.equityapartments.com/arlington/columbia-pike/columbia-crossing-apartments,Columbia Crossing Apartments,"1957 Columbia Pike

Arlington VA 22204",Washington DC,247
https://www.equityapartments.com/washington-dc/van-ness/connecticut-heights-apartments,"
Connecticut Heights Apartments","4850 Connecticut Ave. NW

Washington DC 20008",Washington DC,518
https://www.equityapartments.com/arlington/clarendon/the-reserve-at-clarendon-centre-apartments,"
The Reserve at Clarendon Centre Apartments","3000 N. Washington Blvd.

Arlington VA 22201",Washington DC,252
https://www.equityapartments.com/alexandria/potomac-yard/reserve-at-potomac-yard-apartments,Reserve at Potomac Yard Apartments,"3700 Richmond Hwy

Alexandria VA 22305",Washington DC,588
https://www.equityapartments.com/arlington/clarendon/the-clarendon-apartments,The Clarendon Apartments,"1200 N Herndon Street

Arlington VA 22201",Washington DC,292
https://www.equityapartments.com/arlington/virginia-square/virginia-square-apartments,"
Virginia Square Apartments","901 N. Nelson St.

Arlington VA 22203",Washington DC,231
https://www.equityapartments.com/arlington/ballston/liberty-tower-apartments,Liberty Tower Apartments,"818 N. Quincy Street

Arlington VA 22203",Washington DC,235
https://www.equityapartments.com/washington-dc/friendship-heights/wisconsin-place-apartments,Wisconsin Place Apartments,"4440 Willard Ave.

Chevy Chase MD 20815",Washington DC,432
https://www.equityapartments.com/alexandria/old-town-alexandria/the-dalton-apartments,"
The Dalton Apartments","1225 First Street

Alexandria VA 22314",Washington DC,270
https://www.equityapartments.com/maryland/silver-spring/the-veridian-apartments,"
The Veridian Apartments","1133 East-West Highway

Silver Spring MD 20910",Washington DC,457
https://www.equityapartments.com/alexandria/old-town-alexandria/1111-belle-pre-apartments,"
1111 Belle Pre Apartments","1111 Belle Pre Way

Alexandria VA 22314",Washington DC,360
https://www.equityapartments.com/maryland/hyattsville/mosaic-at-metro-apartments,Mosaic at Metro Apartments,"6210 Belcrest Road

Hyattsville MD 20782",Washington DC,260
https://www.equityapartments.com/maryland/bethesda/the-edge-apartments,The Edge Apartments,"4885 Edgemoor Ln

Bethesda MD 20814",Washington DC,154
https://www.equityapartments.com/maryland/bethesda/edgemont-at-bethesda-metro-apartments,Edgemont at Bethesda Metro Apartments,"4903 Edgemoor Lane

Bethesda MD 20814",Washington DC,122
https://www.equityapartments.com/alexandria/old-town-alexandria/carlyle-mill-apartments,Carlyle Mill Apartments,"2201 Mill Road

Alexandria VA 22314",Washington DC,317
https://www.equityapartments.com/alexandria/mark-center/town-square-at-mark-center-apartments,"
Town Square at Mark Center Apartments","1459 N Beauregard Street

Alexandria VA 22311",Washington DC,678
https://www.equityapartments.com/alexandria/van-dorn-metro/the-reserve-at-eisenhower-apartments,The Reserve at Eisenhower Apartments,"5000 Eisenhower Avenue

Alexandria VA 22304",Washington DC,226
https://www.equityapartments.com/maryland/rockville/westchester-rockville-station-apartments,Westchester Rockville Station Apartments,"100 First St.

Rockville MD 20851",Washington DC,192
https://www.equityapartments.com/maryland/rockville/axis-at-shady-grove-apartments,Axis at Shady Grove Apartments,"9305 Corporate Blvd

Rockville MD 20850",Washington DC,366
https://www.equityapartments.com/maryland/gaithersburg/gaithersburg-station-apartments,Gaithersburg Station Apartments,"370 E. Diamond Ave

Gaithersburg MD 20877",Washington DC,400
https://www.equityapartments.com/northern-virginia/fairfax-corner/radiant-fairfax-ridge-apartments,Radiant Fairfax Ridge Apartments,"3887 Fairfax Ridge Road

Fairfax VA 22030",Washington DC,213
https://www.equityapartments.com/northern-virginia/fairfax-corner/the-reserve-at-fairfax-corner-apartments,The Reserve at Fairfax Corner Apartments,"11727 Fairfax Woods Way

Fairfax VA 22030",Washington DC,652
https://www.equityapartments.com/northern-virginia/fairfax-corner/fairchase-apartments,Fairchase Apartments,"4411 Dixie Hill Rd.

Fairfax VA 22030",Washington DC,392
https://www.equityapartments.com/new-york-city/chelsea/beatrice-apartments,Beatrice Apartments,"105 W 29th Street

Manhattan NY 10001",New York City,302
https://www.equityapartments.com/new-york-city/nomad/prism-at-park-avenue-south-apartments,"
Prism at Park Avenue South Apartments","50 East 28th Street

New York NY 10016",New York City,269
https://www.equityapartments.com/new-york-city/chelsea/777-6th-avenue-apartments,"
777 6th Avenue Apartments","777 6th Avenue

Manhattan NY 10001",New York City,294
https://www.equityapartments.com/new-york-city/gramercy-park-murray-hill/parc-east-apartments,Parc East Apartments,"240 East 27th Street

Manhattan NY 10016",New York City,325
https://www.equityapartments.com/new-york-city/midtown-west/hudson-crossing-apartments,"
Hudson Crossing Apartments","400 West 37th St

Manhattan NY 10018",New York City,259
https://www.equityapartments.com/new-york-city/gramercy-park-murray-hill/murray-hill-tower-apartments,Murray Hill Tower Apartments,"245 E. 40th St.

Manhattan NY 10016",New York City,270
https://www.equityapartments.com/new-york-city/gramercy-park-murray-hill/300-east-39th-apartments,"
300 East 39th Apartments","300 E. 39th St.

Manhattan NY 10016",New York City,254
https://www.equityapartments.com/new-york-city/midtown-west/mantena-apartments,"
Mantena Apartments","431 W 37th Street

Manhattan NY 10018",New York City,98
https://www.equityapartments.com/new-york-city/midtown/longacre-house-apartments,Longacre House Apartments,"305 West 50th Street

Manhattan NY 10019",New York City,293
https://www.equityapartments.com/new-york-city/chelsea/ten23-apartments,Ten23 Apartments,"500 West 23rd Street

Manhattan NY 10011",New York City,111
https://www.equityapartments.com/new-york-city/midtown/west-54th-apartments,West 54th Apartments,"505 W. 54th St.

Manhattan NY 10019",New York City,222
https://www.equityapartments.com/new-york-city/upper-west-side/170-amsterdam-apartments,"
170 Amsterdam Apartments","170 Amsterdam Avenue

New York NY 10023",New York City,236
https://www.equityapartments.com/new-york-city/upper-west-side/140-riverside-boulevard-apartments,140 Riverside Boulevard Apartments,"140 Riverside Blvd

Manhattan NY 10069",New York City,354
https://www.equityapartments.com/new-york-city/upper-west-side/160-riverside-boulevard-apartments,160 Riverside Boulevard Apartments,"160 Riverside Blvd

Manhattan NY 10069",New York City,455
https://www.equityapartments.com/new-york-city/west-village/600-washington-apartments,600 Washington Apartments,"600 Washington Street

Manhattan NY 10014",New York City,136
https://www.equityapartments.com/new-york-city/upper-west-side/180-riverside-boulevard-apartments,180 Riverside Boulevard Apartments,"180 Riverside Blvd

Manhattan NY 10069",New York City,516
https://www.equityapartments.com/new-york-city/upper-west-side/parc-coliseum-apartments,Parc Coliseum Apartments,"228 West 71st Street

Manhattan NY 10023",New York City,177
https://www.equityapartments.com/new-york-city/upper-west-side/parc-77-apartments,"
Parc 77 Apartments","50 West 77th Street

Manhattan NY 10024",New York City,137
https://www.equityapartments.com/new-york-city/williamsburg/175-kent-apartments,175 Kent Apartments,"175 Kent Avenue

Brooklyn NY 11249",New York City,113
https://www.equityapartments.com/new-york-city/upper-west-side/parc-cameron-apartments,Parc Cameron Apartments,"41 West 86th St

Manhattan NY 10024",New York City,166
https://www.equityapartments.com/west-new-york/edgewater/the-landings-at-port-imperial-apartments,"
The Landings at Port Imperial Apartments","Four Avenue at Port Imperial

West New York NJ 07093",New York City,276
https://www.equityapartments.com/new-york-city/upper-east-side/303-east-83rd-apartments,303 East 83rd Apartments,"303 E 83rd St.

Manhattan NY 10028",New York City,261
https://www.equityapartments.com/new-york/brooklyn/atelier-apartments,Atelier Apartments,"239 North 9th Street

Brooklyn NY 11211",New York City,131
https://www.equityapartments.com/new-york-city/hoboken/the-rivington-apartments,The Rivington Apartments,"1130 Grand St.

Hoboken NJ 07030",New York City,240
https://www.equityapartments.com/new-york-city/upper-west-side/the-westmont-apartments,The Westmont Apartments,"730 Columbus Ave.

Manhattan NY 10025",New York City,163
https://www.equityapartments.com/new-york-city/upper-west-side/west-96th-apartments,West 96th Apartments,"750 Columbus Ave.

Manhattan NY 10025",New York City,207
https://www.equityapartments.com/new-york-city/financial-district/71-broadway-apartments,71 Broadway Apartments,"71 Broadway

Manhattan NY 10006",New York City,237
https://www.equityapartments.com/new-york-city/hoboken/77-park-avenue-apartments,77 Park Avenue Apartments,"77 Park Ave.

Hoboken NJ 07030",New York City,301
https://www.equityapartments.com/new-york-city/jersey-city/the-pier-apartments,"
The Pier Apartments","1 Harborside Place

Jersey City NJ 07311",New York City,297
https://www.equityapartments.com/new-york-city/brooklyn-heights/180-montague-apartments,180 Montague Apartments,"180 Montague St.

Brooklyn NY 11201",New York City,186
https://www.equityapartments.com/new-york-city/brooklyn/the-brooklyner-apartments,The Brooklyner Apartments,"111 Lawrence Street

Brooklyn NY 11201",New York City,491
https://www.equityapartments.com/new-york-city/jersey-city/70-greene-apartments,70 Greene Apartments,"70 Greene Street

Jersey City NJ 07302",New York City,480
https://www.equityapartments.com/new-york-city/jersey-city/portside-towers-apartments,Portside Towers Apartments,"155 Washington Street

Jersey City NJ 07302",New York City,527
https://www.equityapartments.com/new-york-city/jersey-city/hudson-point-apartments,"
Hudson Point Apartments","131 Dudley St.

Jersey City NJ 07302",New York City,182
https://www.equityapartments.com/new-york-city/downtown-jersey-city/madox-apartments,"
Madox Apartments","198 Van Vorst St.

Jersey City NJ 07302",New York City,131
https://www.equityapartments.com/seattle/capitiol-hill/the-pearl-apartments-capitol-hill,The Pearl Apartments,"1530 15th Ave

Seattle WA 98122",Seattle,80
https://www.equityapartments.com/seattle/pike-pine/chloe-on-madison-apartments,Chloe on Madison Apartments,"1401 East Madison Street

Seattle WA 98122",Seattle,137
https://www.equityapartments.com/seattle/pike-pine/chloe-apartments,Chloe on Union Apartments,"1408 E Union St

Seattle WA 98122",Seattle,117
https://www.equityapartments.com/seattle/capitiol-hill/packard-building-apartments,"
Packard Building Apartments","1530 12th Ave

Seattle WA 98122",Seattle,61
https://www.equityapartments.com/seattle/capitol-hill/rianna-apartments,Rianna Apartments,"810 12th Avenue

Seattle WA 98122",Seattle,156
https://www.equityapartments.com/seattle/capitol-hill/the-heights-on-capitol-hill-apartments,The Heights on Capitol Hill Apartments,"130 Harvard Avenue East

Seattle WA 98102",Seattle,104
https://www.equityapartments.com/seattle/first-hill/saxton-apartments,Saxton Apartments,"520 Terry Avenue

Seattle WA 98104",Seattle,325
https://www.equityapartments.com/seattle/capitol-hill/three20-apartments,Three20 Apartments,"320 East Pine

Seattle WA 98122",Seattle,134
https://www.equityapartments.com/seattle/first-hill/seventh-and-james-apartments,Seventh and James Apartments,"600 7th Avenue

Seattle WA 98104",Seattle,96
https://www.equityapartments.com/seattle/downtown-bellevue/venn-at-main-apartments,Venn at Main Apartments,"10333 NE 1st St.

Bellevue WA 98004",Seattle,350
https://www.equityapartments.com/seattle/international-district/uwajimaya-village-apartments,"
Uwajimaya Village Apartments","521 S. Weller

Seattle WA 98104",Seattle,176
https://www.equityapartments.com/seattle/south-lake-union/alcyone-apartments,Alcyone Apartments,"301 Minor Ave N

Seattle WA 98109",Seattle,162
https://www.equityapartments.com/seattle/south-lake-union/cascade-apartments,Cascade Apartments,"221 Minor Ave N

Seattle WA 98109",Seattle,477
https://www.equityapartments.com/seattle/downtown-bellevue/city-square-bellevue-apartments,"
City Square Bellevue Apartments","938 110th Ave NE

Bellevue WA 98004",Seattle,191
https://www.equityapartments.com/seattle/downtown-seattle/harbor-steps-apartments,"
Harbor Steps Apartments","1221 First Avenue

Seattle WA 98101",Seattle,761
https://www.equityapartments.com/seattle/roosevelt/square-one-apartments,Square One Apartments,"1020 NE 63rd Street

Seattle WA 98115",Seattle,112
https://www.equityapartments.com/seattle/downtown-seattle/helios-apartments,"
Helios Apartments","1600 2nd Ave

Seattle WA 98101",Seattle,398
https://www.equityapartments.com/seattle/south-lake-union/mark-on-8th-apartments,"
Mark on 8th Apartments","285 8th Ave N.

Seattle WA 98109",Seattle,174
https://www.equityapartments.com/seattle/belltown/moda-apartments,Moda Apartments,"2312 3rd Avenue

Seattle WA 98121",Seattle,251
https://www.equityapartments.com/seattle/belltown/centennial-tower-and-court-apartments,Centennial Tower and Court Apartments,"2515 Fourth Ave

Seattle WA 98121",Seattle,408
https://www.equityapartments.com/seattle/belltown/2300-elliott-apartments,2300 Elliott Apartments,"2300 Elliott Avenue

Seattle WA 98121",Seattle,92
https://www.equityapartments.com/seattle/belltown/olympus-apartments,Olympus Apartments,"2801 Western Avenue

Seattle WA 98121",Seattle,328
https://www.equityapartments.com/seattle/uptown/metro-on-first-apartments,Metro on First Apartments,"215 First Avenue West

Seattle WA 98119",Seattle,102
https://www.equityapartments.com/seattle/uptown/harrison-square-apartments,Harrison Square Apartments,"312 Second Ave. West

Seattle WA 98119",Seattle,166
https://www.equityapartments.com/seattle/north-seattle/lane-apartments,"
Lane Apartments","10720 5th Ave NE

Seattle WA 98125",Seattle,217
https://www.equityapartments.com/seattle/factoria/surrey-downs-apartments,Surrey Downs Apartments,"13035 S.E. 26th Street

Bellevue WA 98005",Seattle,122
https://www.equityapartments.com/seattle/ballard/urbana-apartments,Urbana Apartments,"1501 NW 56th Street

Seattle WA 98107",Seattle,287
https://www.equityapartments.com/seattle/redmond/redmond-court-apartments,Redmond Court Apartments,"14629 N.E. 37th Pl.

Bellevue WA 98007",Seattle,206
https://www.equityapartments.com/seattle/ballard/odin-apartments,Odin Apartments,"5398 Russell Ave NW

Seattle WA 98107",Seattle,301
https://www.equityapartments.com/seattle/redmond/bellevue-meadows-apartments,Bellevue Meadows Apartments,"4277 148th Ave. N.E.

Bellevue WA 98007",Seattle,180
https://www.equityapartments.com/seattle/admiral-district/springline-apartments,Springline Apartments,"3220 California Ave SW

Seattle WA 98116",Seattle,136
https://www.equityapartments.com/seattle/west-seattle/junction-47-apartments,Junction 47 Apartments,"4715 42nd Ave SW

Seattle WA 98116",Seattle,206
https://www.equityapartments.com/seattle/newcastle/notch-apartments,Notch Apartments,"13800 Newcastle Golf Club Rd

Newcastle WA",Seattle,159
https://www.equityapartments.com/seattle/downtown-redmond/riverpark-apartments,Riverpark Apartments,"15803 Bear Creek Pkwy

Redmond WA 98052",Seattle,321
https://www.equityapartments.com/seattle/downtown-redmond/red160-apartments,red160 Apartments,"16015 Cleveland Street

Redmond WA 98052",Seattle,250
https://www.equityapartments.com/seattle/downtown-redmond/old-town-lofts-apartments,"
Old Town Lofts Apartments","16175 Cleveland Street

Redmond WA 98052",Seattle,149
https://www.equityapartments.com/seattle/downtown-redmond/veloce-apartments,Veloce Apartments,"8102 161st Ave NE

Redmond WA 98052",Seattle,322
https://www.equityapartments.com/seattle/downtown-redmond/chelsea-square-apartments,"
Chelsea Square Apartments","16340 N.E. 83rd Street

Redmond WA 98052",Seattle,113
https://www.equityapartments.com/denver/uptown/radius-uptown-apartments,Radius Uptown Apartments,"1935 Logan St

Denver CO 80203",Denver,372
https://www.equityapartments.com/denver/uptown/skyhouse-denver-apartments,Skyhouse Denver Apartments,"1776 Broadway

Denver CO 80202",Denver,354
https://www.equityapartments.com/denver/golden-triangle/eviva-on-cherokee-apartments,Eviva on Cherokee Apartments,"1250 Cherokee St

Denver CO 80204",Denver,274
https://www.equityapartments.com/denver/central-park/circa-fitzsimons-apartments,"
Circa Fitzsimons Apartments","11700 E 26th Ave

Denver CO 80238",Denver,280
https://www.equityapartments.com/denver/westminster/the-brodie-apartments,"
The Brodie Apartments","2311 Park Centre Dr

Westminster CO 80234",Denver,312
https://www.equityapartments.com/denver/castle-rock/Venue-at-the-Promenade-Apartments,"
Venue at the Promenade Apartments","6200 Castlegate Dr.

Castle Rock CO 80108",Denver,312
https://www.equityapartments.com/boston/west-end/alcott-apartments,Alcott Apartments,"35 Lomasney Way

Boston MA 02114",Boston,248
https://www.equityapartments.com/boston/north-end/avenir-apartments,Avenir Apartments,"101 Canal St.

Boston MA 02114",Boston,241
https://www.equityapartments.com/boston/west-end/the-towers-at-longfellow-apartments,The Towers at Longfellow Apartments,"72 Staniford St.

Boston MA 02114",Boston,585
https://www.equityapartments.com/boston/west-end/the-west-end-apartments-asteria-villas-and-vesta,"
The West End Apartments - Asteria, Villas and Vesta","4 Emerson Place

Boston MA 02114",Boston,310
https://www.equityapartments.com/boston/west-end/emerson-place-apartments,Emerson Place Apartments,"1 Emerson Place Suite 8N

Boston MA 02114",Boston,444
https://www.equityapartments.com/boston/financial-district/one-india-st-apartments,One India Street Apartments,"1 India St

Boston MA 02109",Boston,94
https://www.equityapartments.com/boston/boston-common/660-washington-apartments,660 Washington Apartments,"660 Washington St.

Boston MA 02111",Boston,420
https://www.equityapartments.com/boston/kendall-square/lofts-at-kendall-square-apartments,"
Lofts at Kendall Square Apartments","249 Third St.

Cambridge MA",Boston,186
https://www.equityapartments.com/boston/fort-point/315-on-a-apartments,"
315 on A Apartments","315 A Street

Boston MA 02210",Boston,202
https://www.equityapartments.com/boston/kendall-square/third-square-apartments,"
Third Square Apartments","285 Third Street

Cambridge MA 02142",Boston,292
https://www.equityapartments.com/boston/south-end/troy-boston-apartments,Troy Boston Apartments,"55 Traveler St.

Boston MA 02118",Boston,378
https://www.equityapartments.com/boston/south-end/girard-apartments,"
Girard Apartments","50 Malden St

Boston MA 02118",Boston,160
https://www.equityapartments.com/boston/central-square/church-corner-apartments,"
Church Corner Apartments","10 Magazine Street

Cambridge MA 02139",Boston,85
https://www.equityapartments.com/boston/central-square/929-mass-apartments,929 Mass Apartments,"929 Massachusetts Avenue

Cambridge MA 02139",Boston,127
https://www.equityapartments.com/greater-boston/malden-center/gateway-at-malden-center-apartments,Gateway at Malden Center Apartments,"14 Summer Street

Malden MA 02148",Boston,203
https://www.equityapartments.com/boston/porter-square/walden-park-apartments,"
Walden Park Apartments","205 Walden St

Cambridge MA 02140",Boston,232
https://www.equityapartments.com/greater-boston/west-quincy/quarry-hills-apartments,"
Quarry Hills Apartments","333 Ricciuti Dr.

Quincy MA 02169",Boston,316
